BveTs Vehicle Performance Table 1.00,
#,C-Empty
0,1.00
1,5.95
2,11.90
3,17.85
4,23.80
5,29.75
6,35.70
7,41.64
8,47.59
9,53.54
10,59.49
11,65.44
12,71.39
13,77.34
14,83.29
15,89.24
16,89.24
17,89.24
18,89.24
19,89.24
20,89.24
21,89.24
22,89.24
23,89.24
24,89.24
25,89.24
26,89.24
27,89.24
28,89.24
29,89.24
30,89.24
31,89.24
32,89.24
33,89.24
34,89.24
35,89.24
36,89.24
37,89.24
38,89.24
39,89.24
40,89.24
41,89.24
42,89.24
43,89.24
44,89.24
45,89.24
46,89.24
47,89.24
48,89.24
49,89.24
50,89.24
51,89.24
52,89.24
53,89.24
54,89.24
55,89.24
56,89.24
57,89.24
58,89.24
59,89.24
60,89.24
61,89.24
62,89.92
63,90.74
64,91.55
65,92.36
66,92.58
67,92.81
68,93.06
69,93.33
70,93.61
71,93.91
72,94.22
73,94.55
74,94.89
75,95.24
76,95.60
77,95.98
78,96.37
79,96.76
80,97.17
81,97.59
82,98.02
83,98.01
84,96.85
85,95.71
86,94.59
87,93.51
88,92.44
89,91.41
90,90.39
91,89.40
92,88.43
93,87.47
94,86.54
95,85.63
96,84.74
97,83.87
98,83.01
99,82.17
100,81.35
101,80.55
102,79.76
103,78.98
104,78.22
105,77.48
106,76.75
107,76.03
108,75.33
109,74.63
110,73.96
111,73.29
112,72.64
113,71.99
114,71.36
115,70.74
116,70.13
117,69.53
118,68.94
119,68.36
120,67.79
121,67.23
122,66.68
123,66.14
124,65.61
125,65.08
126,64.56
127,64.06
128,63.56
129,63.06
130,62.58
131,62.10
132,61.63
133,61.17
134,60.71
135,60.26
136,59.82
137,59.38
138,58.95
139,58.53
140,58.11
141,57.70
142,57.29
143,56.89
144,56.49
145,56.10
146,55.72
147,55.34
148,54.97
149,54.60
150,54.23
