BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
#,1,2,3,4,5
#,p1fMax,p2fMax,p3fMax,p4fMax,p5fMax
0,21110,45889,69261,91410,69316
1,21110,45889,69261,91410,69316
2,21110,45889,69261,91410,69316
3,21110,45889,69261,91410,69316
4,21110,45889,69261,91410,69316
5,21110,45889,69261,91410,69316
6,21110,45889,69261,91410,69316
7,14564.3,45889,69261,91410,69316
8,10430.6,45889,69261,91410,69316
9,7770.1,45889,69261,91410,69316
10,5970.8,45889,69261,91410,69316
11,4704.9,45889,69261,91410,69316
12,3785.1,45889,69261,91410,69316
13,3098.7,45889,69261,91410,69316
14,2574.6,45889,69261,91410,69316
15,2166.7,45889,69261,91410,69316
16,1843.9,45889,69261,91410,69316
17,1584.6,45889,69261,91410,69316
18,1373.6,45889,69261,91410,69316
19,1199.9,45889,69261,91410,69316
20,1055.5,45889,69261,91410,69316
21,934.3,45889,69261,91410,69316
22,831.7,45889,69261,91410,69316
23,744.2,43269,69261,91410,69316
24,669.1,40455.1,69261,91410,69316
25,604.2,37928.1,69261,91410,69316
26,547.8,35649.1,69261,91410,69316
27,498.5,33585.5,69261,91410,69316
28,455.1,31710.1,69261,91410,69316
29,416.9,29999.8,69261,91410,69316
30,383,28435.1,69261,91410,69316
31,352.9,26999.5,69261,91410,69316
32,326,25678.5,69261,91410,69316
33,301.8,24459.9,69261,91410,69316
34,280.1,23333,69261,91410,69316
35,260.5,22288.4,69261,91410,69316
36,242.8,21318.1,67337.1,91410,69316
37,226.7,20414.9,65517.2,91410,69316
38,212.1,19572.6,63793,91410,69316
39,198.8,18785.6,60563.5,91410,67538.7
40,186.6,18048.9,57573.2,91410,65850.2
41,175.4,17358.3,54799,91410,64244.1
42,165.2,16709.9,52220.6,91410,62714.5
43,155.7,16100,49820,91410,61256
44,147,15525.7,47581.2,91410,59863.8
45,139,14984.1,45489.9,91410,58533.5
46,131.6,14472.7,43533.6,91410,57261
47,124.7,13989.2,41700.8,91410,55073
48,118.3,13531.5,39981.4,91410,53011.9
49,112.3,13097.8,38366.2,91410,51068.2
50,106.8,12686.3,36846.9,88430.9,49232.9
51,101.7,12295.5,35416,85314.6,47497.9
52,96.8,11924,34067,82365.5,45856.1
53,92.3,11570.5,32793.6,79571.7,44300.6
54,88.1,11233.7,31590.2,76922.2,42825.6
55,84.2,10912.7,30451.9,74407.2,41425.3
56,80.5,10606.4,29374.1,72017.5,40094.9
57,77,10313.9,28352.5,69744.8,38829.6
58,73.7,10034.4,27383.2,67581.6,37625.3
59,70.6,9767,26462.8,65520.7,36477.9
60,67.7,9511,25588.1,63555.8,35383.9
61,65,9265.9,24756,61680.8,34340.1
62,62.4,9030.8,23963.9,59890.3,33343.2
63,59.9,8805.4,23209.2,58179.1,32390.6
64,57.6,8589,22489.5,56542.7,31479.5
65,55.4,8381.1,21802.9,54976.6,30607.6
66,53.4,8181.4,21147.2,53476.8,29772.6
67,51.4,7989.3,20520.6,52039.6,28972.5
68,49.5,7804.5,19921.5,50661.5,28205.2
69,47.7,7626.5,19348.3,49339.1,27469
70,46.1,7455.1,18799.4,48069.6,26762.2
71,44.5,7289.8,18273.6,46850.1,26083.2
72,42.9,7130.5,17769.5,45677.9,25430.6
73,41.5,6976.8,17286,44550.6,24803
74,40.1,6828.4,16822,43465.9,24199.1
75,38.8,6685.1,16376.4,42421.6,23617.8
76,37.5,6546.7,15948.3,41415.8,23057.8
77,36.3,6412.9,15536.7,40446.5,22518.1
78,35.1,6283.4,15140.9,39512,21997.8
79,34,6158.2,14760,38610.5,21496
80,33,6037,14393.3,37740.6,21011.7
81,32,5919.7,14040.1,36900.7,20544.1
82,31,5806,13699.8,36089.5,20092.4
83,30.1,5695.9,13371.6,35305.6,19656
84,29.2,5589.1,13055.1,34547.9,19234.1
85,28.3,5485.6,12749.8,33815.1,18826.1
86,27.5,5385.2,12455,33106.1,18431.4
87,26.7,5287.7,12170.3,32419.9,18049.4
88,26,5193.1,11895.3,31755.6,17679.5
89,25.3,5101.2,11629.5,31112.1,17321.3
90,24.6,5011.9,11372.5,30488.7,16974.2
91,23.9,4925.2,11123.9,29884.4,16637.8
92,23.3,4840.9,10883.4,29298.5,16311.6
93,22.6,4758.9,10650.6,28730.3,15995.2
94,22,4679.1,10425.2,28178.9,15688.3
95,21.5,4601.5,10206.9,27643.9,15390.4
96,20.9,4526,9995.3,27124.4,15101.2
97,20.4,4452.5,9790.3,26619.9,14820.3
98,19.9,4381,9591.5,26129.8,14547.5
99,19.4,4311.2,9398.7,25653.6,14282.4
100,18.9,4243.3,9211.7,25190.8,14024.7
101,18.4,4177.1,9030.2,24740.7,13774.1
102,18,4112.6,8854,24303.1,13530.5
103,17.5,4049.7,8682.9,23877.3,13293.4
104,17.1,3988.4,8516.7,23463,13062.7
105,16.7,3928.5,8355.3,23059.7,12838.2
106,16.3,3870.1,8198.4,22667.1,12619.6
107,15.9,3813.1,8045.9,22284.8,12406.8
108,15.6,3757.5,7897.6,21912.4,12199.5
109,15.2,3703.2,7753.3,21549.5,11997.4
110,14.9,3650.1,7613,21195.9,11800.6
111,14.5,3598.3,7476.4,20851.2,11608.7
112,14.2,3547.7,7343.5,20515.2,11421.6
113,13.9,3498.2,7214.1,20187.5,11239.1
114,13.6,3449.8,7088.1,19867.8,11061.2
115,13.3,3402.5,6965.4,19555.9,10887.5
116,13,3356.3,6845.8,19251.6,10718.1
117,12.8,3311.1,6729.3,18954.5,10552.7
118,12.5,3266.9,6615.7,18664.5,10391.2
119,12.2,3223.6,6505,18381.3,10233.6
120,12,3181.3,6397,18104.7,10079.6
121,11.7,3139.8,6291.7,17834.6,9929.2
122,11.5,3099.3,6189,17570.6,9782.2
123,11.3,3059.5,6088.8,17312.7,9638.6
124,11,3020.6,5991,17060.6,9498.3
125,10.8,2982.6,5895.5,16814.1,9361.1
126,10.6,2945.2,5802.3,16573.1,9226.9
