BveTs Vehicle Performance Table 1.00,
#,F-Empty
0,1
1,2682
2,5363
3,8044
4,10725
5,13406
6,16087
7,18768
8,21450
9,24131
10,26812
11,29493
12,32174
13,34855
14,37536
15,40217
16,40217
17,40217
18,40217
19,40217
20,40217
21,40217
22,40217
23,40217
24,40217
25,40217
26,40217
27,40217
28,40217
29,40217
30,40217
31,40217
32,40217
33,40217
34,40217
35,40217
36,40217
37,40217
38,40217
39,40217
40,40217
41,40217
42,40217
43,40217
44,40217
45,40217
46,40217
47,40217
48,40217
49,40217
50,40217
51,40217
52,40217
53,40217
54,40217
55,40217
56,40217
57,40217
58,40217
59,40217
60,40217
61,40217
62,40217
63,40217
64,40217
65,40217
66,40217
67,40217
68,40217
69,40217
70,40217
71,40217
72,40217
73,40217
74,40217
75,40217
76,40217
77,40217
78,40217
79,40217
80,40217
81,40217
82,40217
83,39943
84,38951
85,37995
86,37073
87,36184
88,35326
89,34498
90,33698
91,32925
92,32178
93,31455
94,30757
95,30081
96,29427
97,28793
98,28180
99,27585
100,27009
101,26451
102,25909
103,25384
104,24874
105,24379
106,23898
107,23432
108,22978
109,22538
110,22110
111,21694
112,21289
113,20895
114,20512
115,20139
116,19777
117,19423
118,19079
119,18744
120,18418
121,18099
122,17789
123,17487
124,17192
125,16905
126,16624
127,16350
128,16083
129,15823
130,15568
131,15320
132,15077
133,14840
134,14608
135,14382
136,14161
137,13945
138,13733
139,13527
140,13324
141,13127
142,12933
143,12744
144,12559
145,12378
146,12201
147,12027
148,11857
149,11690
150,11527
