BveTs Vehicle Performance Table 1.00,,,,,
#,c,,,,
#,1,2,3,4,5
#,p1c,p2c,p3c,p4c,p5c
0,27.4,59.6,90,118.8,90.1
1,27.4,59.6,90,118.8,90.1
2,27.4,59.6,90,118.8,90.1
3,27.4,59.6,90,118.8,90.1
4,27.4,59.6,90,118.8,90.1
5,27.4,59.6,90,118.8,90.1
6,27.4,59.6,90,118.8,90.1
7,27.4,59.6,90,118.8,90.1
8,27.3,59.6,90,118.8,90.1
9,24.3,59.6,90,118.8,90.1
10,21.9,59.6,90,118.8,90.1
11,19.9,59.6,90,118.8,90.1
12,18.2,59.6,90,118.8,90.1
13,16.8,59.6,90,118.8,90.1
14,15.6,59.6,90,118.8,90.1
15,14.6,59.6,90,118.8,90.1
16,13.7,59.6,90,118.8,90.1
17,12.9,59.6,90,118.8,90.1
18,12.1,59.6,90,118.8,90.1
19,11.5,59.6,90,118.8,90.1
20,10.9,59.6,90,118.8,90.1
21,10.4,59.6,90,118.8,90.1
22,9.9,59.6,90,118.8,90.1
23,9.5,59.6,90,118.8,90.1
24,9.1,59.6,90,118.8,90.1
25,8.7,59.6,90,118.8,90.1
26,8.4,59.6,90,118.8,90.1
27,8.1,59.6,90,118.8,90.1
28,7.8,59.6,90,118.8,90.1
29,7.5,59,90,118.8,90.1
30,7.3,57,90,118.8,90.1
31,7,55.2,90,118.8,90.1
32,6.8,53.4,90,118.8,90.1
33,6.6,51.8,90,118.8,90.1
34,6.4,50.3,90,118.8,90.1
35,6.2,48.9,90,118.8,90.1
36,6.1,47.5,90,118.8,90.1
37,5.9,46.2,90,118.8,90.1
38,5.8,45,90,118.8,90.1
39,5.6,43.8,90,118.8,90.1
40,5.5,42.7,90,118.8,90.1
41,5.3,41.7,90,118.8,90.1
42,5.2,40.7,90,118.8,90.1
43,5.1,39.8,90,118.8,90.1
44,5,38.9,90,118.8,90.1
45,4.9,38,90,118.8,90.1
46,4.8,37.2,90,118.8,90.1
47,4.6,36.4,90,118.8,90.1
48,4.6,35.6,90,118.8,90.1
49,4.5,34.9,90,118.8,90.1
50,4.4,34.2,90,118.8,90.1
51,4.3,33.5,90,118.8,90.1
52,4.2,32.9,90,118.8,90.1
53,4.1,32.3,90,118.8,90.1
54,4,31.7,90,118.8,90.1
55,4,31.1,90,118.8,90.1
56,3.9,30.5,90,118.8,90.1
57,3.8,30,90,118.8,90.1
58,3.8,29.5,90,118.8,90.1
59,3.7,29,90,118.8,90.1
60,3.6,28.5,90,118.8,90.1
61,3.6,28,89.3,118.8,90.1
62,3.5,27.6,87.9,118.8,90.1
63,3.5,27.1,86.5,118.8,90.1
64,3.4,26.7,85.1,118.8,90.1
65,3.4,26.3,83.8,118.8,90.1
66,3.3,25.9,82.6,118.8,90.1
67,3.3,25.5,81.3,118.8,90.1
68,3.2,25.1,80.1,118.8,90.1
69,3.2,24.8,79,118.8,90.1
70,3.1,24.4,77.8,118.8,90.1
71,3.1,24.1,76.7,118.8,90.1
72,3,23.7,75.7,118.8,90.1
73,3,23.4,74.6,118.8,90.1
74,3,23.1,73.6,118.8,89.2
75,2.9,22.8,72.6,118.8,88
76,2.9,22.5,71.7,118.8,86.9
77,2.8,22.2,70.8,118,85.7
78,2.8,21.9,69.9,116.5,84.6
79,2.8,21.6,69,115,83.6
80,2.7,21.4,68.1,113.5,82.5
81,2.7,21.1,67.3,112.1,81.5
82,2.7,20.9,66.4,110.8,80.5
83,2.6,20.6,65.6,109.4,79.5
84,2.6,20.4,64.9,108.1,78.6
85,2.6,20.1,64.1,106.9,77.7
86,2.5,19.9,63.4,105.6,76.8
87,2.5,19.7,62.6,104.4,75.9
88,2.5,19.4,61.9,103.2,75
89,2.5,19.2,61.2,102.1,74.2
90,2.4,19,60.5,100.9,73.3
91,2.4,18.8,59.9,99.8,72.5
92,2.4,18.6,59.2,98.7,71.7
93,2.3,18.4,58.6,97.7,71
94,2.3,18.2,58,96.6,70.2
95,2.3,18,57.4,95.6,69.5
96,2.3,17.8,56.8,94.6,68.8
97,2.3,17.6,56.2,93.6,68
98,2.2,17.4,55.6,92.7,67.4
99,2.2,17.3,55,91.7,66.7
100,2.2,17.1,54.5,90.8,66
101,2.2,16.9,53.9,89.9,65.4
102,2.1,16.8,53.4,89.1,64.7
103,2.1,16.6,52.9,88.2,64.1
104,2.1,16.4,52.4,87.3,63.5
105,2.1,16.3,51.9,86.5,62.9
106,2.1,16.1,51.4,85.7,62.3
107,2,16,50.9,84.9,61.7
108,2,15.8,50.4,84.1,61.1
109,2,15.7,50,83.3,60.6
110,2,15.5,49.5,82.6,60
111,2,15.4,49.1,81.8,59.5
112,2,15.3,48.6,81.1,58.9
113,1.9,15.1,48.2,80.4,58.4
114,1.9,15,47.8,79.7,57.9
115,1.9,14.9,47.4,79,57.4
116,1.9,14.7,47,78.3,56.9
117,1.9,14.6,46.6,77.6,56.4
118,1.9,14.5,46.2,77,55.9
119,1.8,14.4,45.8,76.3,55.5
120,1.8,14.2,45.4,75.7,55
121,1.8,14.1,45,75.1,54.6
122,1.8,14,44.7,74.5,54.1
123,1.8,13.9,44.3,73.8,53.7
124,1.8,13.8,43.9,73.3,53.2
125,1.7,13.7,43.6,72.7,52.8
126,1.7,13.6,43.2,72.1,52.4
127,1.7,13.5,42.9,71.5,52
128,1.7,13.4,42.6,71,51.6
129,1.7,13.3,42.2,70.4,51.2
130,1.7,13.2,41.9,69.9,50.8
131,1.7,13.1,41.6,69.3,50.4
132,1.7,13,41.3,68.8,50
133,1.6,12.9,41,68.3,49.6
134,1.6,12.8,40.7,67.8,49.3
135,1.6,12.7,40.4,67.3,48.9
136,1.6,12.6,40.1,66.8,48.5
137,1.6,12.5,39.8,66.3,48.2
138,1.6,12.4,39.5,65.8,47.8
139,1.6,12.3,39.2,65.3,47.5
140,1.6,12.2,38.9,64.9,47.1
141,1.5,12.1,38.6,64.4,46.8
142,1.5,12,38.4,64,46.5
143,1.5,12,38.1,63.5,46.2
144,1.5,11.9,37.8,63.1,45.8
145,1.5,11.8,37.6,62.6,45.5
146,1.5,11.7,37.3,62.2,45.2
147,1.5,11.6,37.1,61.8,44.9
148,1.5,11.6,36.8,61.4,44.6
149,1.5,11.5,36.6,61,44.3
150,1.5,11.4,36.3,60.6,44
