BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
#,1,2,3,4,5
#,p1f,p2f,p3f,p4f,p5f
0,13251,28804,43475,57378,43510
1,13251,28804,43475,57378,43510
2,13251,28804,43475,57378,43510
3,13251,28804,43475,57378,43510
4,13251,28804,43475,57378,43510
5,13251,28804,43475,57378,43510
6,13251,28804,43475,57378,43510
7,13251,28804,43475,57378,43510
8,10326.3,28804,43475,57378,43510
9,7692.4,28804,43475,57378,43510
10,5911.1,28804,43475,57378,43510
11,4657.9,28804,43475,57378,43510
12,3747.3,28804,43475,57378,43510
13,3067.7,28804,43475,57378,43510
14,2548.9,28804,43475,57378,43510
15,2145.1,28804,43475,57378,43510
16,1825.4,28804,43475,57378,43510
17,1568.7,28804,43475,57378,43510
18,1359.8,28804,43475,57378,43510
19,1187.9,28804,43475,57378,43510
20,1044.9,28804,43475,57378,43510
21,925,28804,43475,57378,43510
22,823.4,28804,43475,57378,43510
23,736.8,28804,43475,57378,43510
24,662.4,28804,43475,57378,43510
25,598.2,28804,43475,57378,43510
26,542.3,28804,43475,57378,43510
27,493.5,28804,43475,57378,43510
28,450.6,28804,43475,57378,43510
29,412.7,28804,43475,57378,43510
30,379.2,28150.8,43475,57378,43510
31,349.4,26729.5,43475,57378,43510
32,322.7,25421.7,43475,57378,43510
33,298.8,24215.3,43475,57378,43510
34,277.3,23099.6,43475,57378,43510
35,257.9,22065.5,43475,57378,43510
36,240.4,21104.9,42267.4,57378,43510
37,224.5,20210.8,41125,57378,43510
38,210,19376.9,40042.8,57378,43510
39,196.8,18597.7,39016,57378,42394.4
40,184.7,17868.5,38040.6,57378,41334.5
41,173.7,17184.8,37112.8,57378,40326.3
42,163.5,16542.8,36229.2,57378,39366.2
43,154.2,15939,35386.6,57378,38450.7
44,145.6,15370.5,34582.4,57378,37576.8
45,137.6,14834.3,33813.9,57378,36741.8
46,130.2,14328,33078.8,57378,35943
47,123.4,13849.3,32375,57378,35321.1
48,117.1,13396.2,31700.5,57378,34722.6
49,111.2,12966.8,31053.6,57378,34146.4
50,105.7,12559.4,30432.5,57378,33591
51,100.6,12172.5,29835.8,56898.9,33055.4
52,95.9,11804.7,29262,56009.2,32538.5
53,91.4,11454.8,28709.9,55149.9,32039.3
54,87.2,11121.4,28178.2,54319.5,31556.9
55,83.3,10803.6,27665.9,53516.5,31090.4
56,79.7,10500.4,27171.9,52739.6,30639
57,76.2,10210.8,26695.2,51987.3,30202
58,73,9934,26234.9,51258.6,29778.7
59,69.9,9669.3,25790.3,50552.3,29368.4
60,67,9415.9,25332.2,49867.4,28970.4
61,64.3,9173.2,24508.5,49202.8,28584.4
62,61.8,8940.5,23724.2,48557.7,28209.6
63,59.3,8717.3,22977.1,47931.2,27845.6
64,57,8503.1,22264.6,47322.4,27492
