BveTs Vehicle Performance Table 1.00,
#,F-Max
0,1
1,4744
2,9487
3,14230
4,18973
5,23716
6,28460
7,33203
8,37946
9,42689
10,47432
11,52176
12,56919
13,61662
14,66405
15,71148
16,71148
17,71148
18,71148
19,71148
20,71148
21,71148
22,71148
23,71148
24,71148
25,71148
26,71148
27,71148
28,71148
29,71148
30,71148
31,71148
32,71148
33,71148
34,71148
35,71148
36,71148
37,71148
38,71148
39,71148
40,71148
41,71148
42,71148
43,71148
44,71148
45,71148
46,71148
47,71148
48,71148
49,71148
50,71148
51,71148
52,71148
53,71148
54,71148
55,71148
56,71148
57,71148
58,71148
59,71148
60,71148
61,71148
62,71148
63,71148
64,71148
65,71148
66,68904
67,66762
68,64717
69,62763
70,60895
71,59107
72,57397
73,55758
74,54187
75,52681
76,51236
77,49849
78,48516
79,47235
80,46004
81,44820
82,43679
83,42582
84,41524
85,40505
86,39522
87,38574
88,37659
89,36776
90,35923
91,35099
92,34303
93,33533
94,32788
95,32068
96,31370
97,30695
98,30041
99,29407
100,28793
101,28198
102,27620
103,27060
104,26517
105,25989
106,25477
107,24979
108,24496
109,24027
110,23570
111,23127
112,22695
113,22275
114,21867
115,21470
116,21083
117,20706
118,20339
119,19982
120,19634
121,19295
122,18964
123,18642
124,18328
125,18021
126,17722
127,17430
128,17146
129,16868
130,16596
131,16331
132,16073
133,15820
134,15573
135,15332
136,15096
137,14866
138,14640
139,14420
140,14205
141,13994
142,13788
143,13586
144,13389
145,13195
146,13006
147,12821
148,12640
149,12463
150,12289
