BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
#,1,2,3,4,5
#,p1cMax,p2cMax,p3cMax,p4cMax,p5cMax
0,43.7,95,143.4,189.2,143.5
1,43.7,95,143.4,189.2,143.5
2,43.7,95,143.4,189.2,143.5
3,43.7,95,143.4,189.2,143.5
4,43.7,95,143.4,189.2,143.5
5,43.7,95,143.4,189.2,143.5
6,36.4,95,143.4,189.2,143.5
7,31.2,95,143.4,189.2,143.5
8,27.3,95,143.4,189.2,143.5
9,24.3,95,143.4,189.2,143.5
10,21.9,95,143.4,189.2,143.5
11,19.9,95,143.4,189.2,143.5
12,18.2,95,143.4,189.2,143.5
13,16.8,95,143.4,189.2,143.5
14,15.6,95,143.4,189.2,143.5
15,14.6,95,143.4,189.2,143.5
16,13.7,95,143.4,189.2,143.5
17,12.9,95,143.4,189.2,143.5
18,12.1,95,143.4,189.2,143.5
19,11.5,90,143.4,189.2,143.5
20,10.9,85.5,143.4,189.2,143.5
21,10.4,81.4,143.4,189.2,143.5
22,9.9,77.7,143.4,189.2,143.5
23,9.5,74.3,143.4,189.2,143.5
24,9.1,71.2,143.4,189.2,143.5
25,8.7,68.4,143.4,189.2,143.5
26,8.4,65.8,143.4,189.2,143.5
27,8.1,63.3,143.4,189.2,143.5
28,7.8,61.1,143.4,189.2,143.5
29,7.5,59,143.4,189.2,143.5
30,7.3,57,143.4,189.2,143.5
31,7,55.2,143.4,189.2,143.5
32,6.8,53.4,143.4,189.2,143.5
33,6.6,51.8,143.4,189.2,143.5
34,6.4,50.3,143.4,189.2,143.5
35,6.2,48.9,143.4,189.2,143.5
36,6.1,47.5,143.4,189.2,143.5
37,5.9,46.2,143.4,189.2,143.5
38,5.8,45,143.4,189.2,143.5
39,5.6,43.8,139.7,189.2,143.5
40,5.5,42.7,136.2,189.2,143.5
41,5.3,41.7,132.9,189.2,143.5
42,5.2,40.7,129.7,189.2,143.5
43,5.1,39.8,126.7,189.2,143.5
44,5,38.9,123.8,189.2,143.5
45,4.9,38,121.1,189.2,143.5
46,4.8,37.2,118.4,189.2,143.5
47,4.6,36.4,115.9,189.2,140.4
48,4.6,35.6,113.5,189.2,137.5
49,4.5,34.9,111.2,185.4,134.7
50,4.4,34.2,109,181.7,132
51,4.3,33.5,106.8,178.1,129.4
52,4.2,32.9,104.8,174.7,126.9
53,4.1,32.3,102.8,171.4,124.5
54,4,31.7,100.9,168.2,122.2
55,4,31.1,99.1,165.1,120
56,3.9,30.5,97.3,162.2,117.9
57,3.8,30,95.6,159.4,115.8
58,3.8,29.5,93.9,156.6,113.8
59,3.7,29,92.3,154,111.9
60,3.6,28.5,90.8,151.4,110
61,3.6,28,89.3,148.9,108.2
62,3.5,27.6,87.9,146.5,106.5
63,3.5,27.1,86.5,144.2,104.8
64,3.4,26.7,85.1,141.9,103.1
65,3.4,26.3,83.8,139.7,101.6
66,3.3,25.9,82.6,137.6,100
67,3.3,25.5,81.3,135.6,98.5
68,3.2,25.1,80.1,133.6,97.1
69,3.2,24.8,79,131.6,95.7
70,3.1,24.4,77.8,129.8,94.3
71,3.1,24.1,76.7,127.9,93
72,3,23.7,75.7,126.2,91.7
73,3,23.4,74.6,124.4,90.4
74,3,23.1,73.6,122.7,89.2
75,2.9,22.8,72.6,121.1,88
76,2.9,22.5,71.7,119.5,86.9
77,2.8,22.2,70.8,118,85.7
78,2.8,21.9,69.9,116.5,84.6
79,2.8,21.6,69,115,83.6
80,2.7,21.4,68.1,113.5,82.5
81,2.7,21.1,67.3,112.1,81.5
82,2.7,20.9,66.4,110.8,80.5
83,2.6,20.6,65.6,109.4,79.5
84,2.6,20.4,64.9,108.1,78.6
