BveTs Vehicle Performance Table 1.00
#
0,56.84848,100,100,100
5,49.09091,100,100,100
10,31.33172,100,100,100
15,25.68775,84,100,100
20,23.48775,68,100,100
25,22.3867,56.56425,100,100
30,21.75061,44.48262,100,100
35,21.34704,37.44115,88.57143,100
40,21.07348,33.00148,80,100
45,20.87869,30.03361,66.57719,100
50,20.73459,27.95776,57.13596,100
55,20.68718,27.09773,53.28075,100
60,20.64658,26.39401,50.11177,100
65,20.61135,25.80843,47.46375,93.84615
70,20.58044,25.31419,45.22014,88.57143
75,20.55307,24.89194,43.29645,84
80,20.52864,24.52738,41.63001,80
85,20.50668,24.20971,40.17337,76.47059
90,20.48681,23.93064,38.88997,73.33334
95,20.46873,23.68372,37.75121,70.52631
100,20.45219,23.46382,36.7344,68
105,20.43701,23.26684,35.82131,65.71429
110,20.42301,23.08947,34.99714,63.63636
115,20.41005,22.92899,34.24976,61.73913
120,20.39801,22.78315,33.56912,60
125,20.3868,22.6501,32.94683,58.4
130,20.37633,22.52826,32.37586,56.92308
135,20.36652,22.41632,31.85022,55.55556
140,20.3573,22.31314,31.36483,54.28571
145,20.34863,22.21775,30.91533,53.10345
150,20.34046,22.12934,30.49797,52
155,20.33273,22.04718,30.10948,50.96774
160,20.32542,21.97066,29.74703,50
